Restaurant ID,Restaurant Name,Has Table booking,Has Online delivery,Is delivering now,Price range,aggregateID,Aggregate rating,Votes,Address,Cuisines,Longitude,Latitude
6700475,Skye - Hotel Unique,No,No,No,4,6,4.8,59,"Hotel Unique, Avenida Brigadeiro Lu_s Antnio, 4700, Jardim Paulista, So Paulo","Beverages, International",-46.666851,-23.581688
6713413,Les 3 Brasseurs,No,No,No,4,6,4.6,30,"Rua Jesu_no Arruda, 470, Itaim Bibi, So Paulo","French, Brazilian, Beverages",-46.67511,-23.582135
6714340,Red Steak & Burger,No,No,No,3,4,3.9,5,"Rua Tabapu, 1417, Itaim Bibi, So Paulo","Brazilian, Grill",-46.683888,-23.585324
6710645,Cantinho da Gula,No,No,No,2,1,0,0,"Rua Pedroso Alvarenga, 522, Itaim Bibi, So Paulo, SP",Brazilian,-46.67566667,-23.581
6700402,Paris 6 Classique,No,No,No,4,3,3.4,73,"Rua Haddock Lobo, 1240, Cerqueira Csar, Jardim Paulista, So Paulo",French,-46.666041,-23.561568
6700846,Kawa Sushi,No,No,No,4,4,3.5,9,"Alameda Lorena, 300, Jardim Paulista, So Paulo","Sushi, Japanese",-46.657418,-23.571638
6702159,A Figueira Rubaiyat,No,No,No,4,5,4.3,39,"Rua Haddock Lobo, 1738, Cerqueira Csar, Jardim Paulista, So Paulo 10000","BBQ, Grill, Brazilian",-46.66983333,-23.5655
6711666,Kinoshita,No,No,No,4,4,3.9,12,"Rua Jacques Flix, 405, Vila Nova Concei_o, Moema, So Paulo",Sushi,-46.67133333,-23.59233333
6701257,Meats,No,No,No,4,5,4.3,68,"Rua dos Pinheiros, 320, Pinheiros, So Paulo","Gourmet Fast Food, Burger",-46.68133333,-23.56483333
6706211,Paribar,No,No,No,4,5,4.3,46,"Pra_a Dom Jos Gaspar, 42, Rep_blica, So Paulo 10000","Brazilian, Italian",-46.64159444,-23.54664167
6705858,Terra_o Itlia,No,No,No,4,5,4.4,37,"Edif_cio Itlia - 41 Andar, Avenida Ipiranga, 344, Rep_blica, So Paulo",Italian,-46.643425,-23.545163
6701419,Divino Fogo,No,No,No,3,1,0,2,"Shopping Metr Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, So Paulo","Brazilian, Mineira",-46.63716667,-23.5995
6703956,Super Grill,No,No,No,2,1,0,2,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni J_nior, 1089, Santo Amaro, So Paulo",Brazilian,-46.698574,-23.622925
6709580,Esquina Mocot_,No,No,No,4,5,4.4,22,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, So Paulo","Brazilian, North Eastern",-46.581672,-23.486535
